time mnvel errvel tel svalue
2.455022833980000112e+06 1.518000000000000016e+00 2.362999999999999989e+00 hires \nodata
2.455024758270000108e+06 -1.796900000000000119e+01 2.322999999999999954e+00 hires \nodata
2.455024765759999864e+06 -1.364799999999999969e+01 2.104000000000000092e+00 hires \nodata
2.455024773109999951e+06 -1.111700000000000088e+01 1.945000000000000062e+00 hires \nodata
2.455049757120000198e+06 1.569899999999999984e+01 2.911999999999999922e+00 hires \nodata
2.455168074109999929e+06 1.103599999999999959e+01 2.617999999999999883e+00 hires \nodata
2.455168081650000066e+06 1.043699999999999939e+01 2.568000000000000060e+00 hires \nodata
2.455168089019999839e+06 1.258799999999999919e+01 2.748000000000000220e+00 hires \nodata
2.455168096619999968e+06 9.417999999999999261e+00 2.588000000000000078e+00 hires \nodata
2.455168103970000055e+06 1.238899999999999935e+01 2.258999999999999897e+00 hires \nodata
2.455168111289999913e+06 1.306000000000000050e+01 2.548000000000000043e+00 hires \nodata
2.455169112100000028e+06 9.483000000000000540e+00 2.487999999999999989e+00 hires \nodata
2.455169119539999869e+06 7.443999999999999950e+00 2.258999999999999897e+00 hires \nodata
2.455169127009999938e+06 4.825000000000000178e+00 2.717000000000000082e+00 hires \nodata
2.455169134459999856e+06 3.355999999999999872e+00 2.508000000000000007e+00 hires \nodata
2.455169141909999773e+06 4.397000000000000242e+00 2.358000000000000096e+00 hires \nodata
2.455190137440000195e+06 1.175099999999999945e+01 2.156000000000000139e+00 hires \nodata
2.455190143800000194e+06 7.982999999999999652e+00 2.165999999999999925e+00 hires \nodata
2.455202040240000002e+06 -1.097899999999999920e+01 2.407999999999999918e+00 hires \nodata
2.455202048309999984e+06 -7.288999999999999702e+00 2.438000000000000167e+00 hires \nodata
2.455203161379999947e+06 1.999299999999999855e+01 2.498000000000000220e+00 hires \nodata
2.455258129980000202e+06 1.726200000000000045e+01 2.753000000000000114e+00 hires \nodata
2.455258137180000078e+06 1.101299999999999990e+01 2.782999999999999918e+00 hires \nodata
2.455260020359999966e+06 -7.064000000000000057e+00 2.295999999999999819e+00 hires \nodata
